# started on Sun Mar  5 14:58:56 2017

    75.084604239 756763  L1-dcache-store-misses
    75.084604239 0  L1-dcache-prefetch-misses
    75.084604239 149913  L1-icache-load-misses
    75.585015444 774082  L1-dcache-store-misses
    75.585015444 0  L1-dcache-prefetch-misses
    75.585015444 156368  L1-icache-load-misses
    76.085972481 765023  L1-dcache-store-misses
    76.085972481 0  L1-dcache-prefetch-misses
    76.085972481 155288  L1-icache-load-misses
    76.586505567 783270  L1-dcache-store-misses
    76.586505567 0  L1-dcache-prefetch-misses
    76.586505567 157422  L1-icache-load-misses
    77.087122765 743094  L1-dcache-store-misses
    77.087122765 0  L1-dcache-prefetch-misses
    77.087122765 152419  L1-icache-load-misses
    77.587550909 730188  L1-dcache-store-misses
    77.587550909 0  L1-dcache-prefetch-misses
    77.587550909 154366  L1-icache-load-misses
    78.087929581 855168  L1-dcache-store-misses
    78.087929581 0  L1-dcache-prefetch-misses
    78.087929581 771199  L1-icache-load-misses
    78.588395164 735988  L1-dcache-store-misses
    78.588395164 0  L1-dcache-prefetch-misses
    78.588395164 159048  L1-icache-load-misses
    79.088925158 735999  L1-dcache-store-misses
    79.088925158 0  L1-dcache-prefetch-misses
    79.088925158 151683  L1-icache-load-misses
    79.589402678 796468  L1-dcache-store-misses
    79.589402678 0  L1-dcache-prefetch-misses
    79.589402678 161844  L1-icache-load-misses
    80.089766257 737651  L1-dcache-store-misses
    80.089766257 0  L1-dcache-prefetch-misses
    80.089766257 155068  L1-icache-load-misses
    80.590750124 743700  L1-dcache-store-misses
    80.590750124 0  L1-dcache-prefetch-misses
    80.590750124 153518  L1-icache-load-misses
    81.091272370 755967  L1-dcache-store-misses
    81.091272370 0  L1-dcache-prefetch-misses
    81.091272370 146559  L1-icache-load-misses
    81.591806276 752462  L1-dcache-store-misses
    81.591806276 0  L1-dcache-prefetch-misses
    81.591806276 160163  L1-icache-load-misses
    82.092063595 792128  L1-dcache-store-misses
    82.092063595 0  L1-dcache-prefetch-misses
    82.092063595 156299  L1-icache-load-misses
    82.592771819 812950  L1-dcache-store-misses
    82.592771819 0  L1-dcache-prefetch-misses
    82.592771819 170170  L1-icache-load-misses
    83.093099597 794397  L1-dcache-store-misses
    83.093099597 0  L1-dcache-prefetch-misses
    83.093099597 149303  L1-icache-load-misses
    83.593585652 793229  L1-dcache-store-misses
    83.593585652 0  L1-dcache-prefetch-misses
    83.593585652 155032  L1-icache-load-misses
    84.094072162 804504  L1-dcache-store-misses
    84.094072162 0  L1-dcache-prefetch-misses
    84.094072162 148139  L1-icache-load-misses
    84.594989723 775291  L1-dcache-store-misses
    84.594989723 0  L1-dcache-prefetch-misses
    84.594989723 147378  L1-icache-load-misses
    85.095842751 936803  L1-dcache-store-misses
    85.095842751 0  L1-dcache-prefetch-misses
    85.095842751 726750  L1-icache-load-misses
    85.596431532 740926  L1-dcache-store-misses
    85.596431532 0  L1-dcache-prefetch-misses
    85.596431532 149474  L1-icache-load-misses
    86.097567565 741030  L1-dcache-store-misses
    86.097567565 0  L1-dcache-prefetch-misses
    86.097567565 146902  L1-icache-load-misses
    86.598417398 749067  L1-dcache-store-misses
    86.598417398 0  L1-dcache-prefetch-misses
    86.598417398 159212  L1-icache-load-misses
    87.099253848 740891  L1-dcache-store-misses
    87.099253848 0  L1-dcache-prefetch-misses
    87.099253848 147292  L1-icache-load-misses
    87.600141052 779841  L1-dcache-store-misses
    87.600141052 0  L1-dcache-prefetch-misses
    87.600141052 161198  L1-icache-load-misses
    88.100616375 742345  L1-dcache-store-misses
