# started on Wed Mar  1 14:16:39 2017

    45.109172292 286536371  instructions
    45.109172292 26115144  branches
    45.109172292 0  faults
    45.109172292 0  migrations
    45.109172292 5  context-switches
    45.609290839 3776338  cache-references
    45.609290839 2807624  cache-misses
    45.609290839 1343955536  cycles
    45.609290839 285852241  instructions
    45.609290839 26088619  branches
    45.609290839 0  faults
    45.609290839 0  migrations
    45.609290839 11  context-switches
    46.109597457 3768823  cache-references
    46.109597457 2785405  cache-misses
    46.109597457 1346615878  cycles
    46.109597457 286838778  instructions
    46.109597457 26178285  branches
    46.109597457 0  faults
    46.109597457 0  migrations
    46.109597457 6  context-switches
    46.609903180 3767040  cache-references
    46.609903180 2787513  cache-misses
    46.609903180 1346363146  cycles
    46.609903180 286915337  instructions
    46.609903180 26186332  branches
    46.609903180 0  faults
    46.609903180 0  migrations
    46.609903180 8  context-switches
    47.110509769 3766004  cache-references
    47.110509769 2758409  cache-misses
    47.110509769 1325497413  cycles
    47.110509769 281525097  instructions
    47.110509769 25663601  branches
    47.110509769 0  faults
    47.110509769 0  migrations
    47.110509769 6  context-switches
    47.611097780 3826968  cache-references
    47.611097780 2832601  cache-misses
    47.611097780 1393757555  cycles
    47.611097780 297603375  instructions
    47.611097780 27175343  branches
    47.611097780 0  faults
    47.611097780 0  migrations
    47.611097780 7  context-switches
    48.111429183 3696614  cache-references
    48.111429183 2748870  cache-misses
    48.111429183 1321834835  cycles
    48.111429183 283726808  instructions
    48.111429183 25757401  branches
    48.111429183 0  faults
    48.111429183 0  migrations
    48.111429183 6  context-switches
    48.611771277 3759897  cache-references
    48.611771277 2823638  cache-misses
    48.611771277 1345951489  cycles
    48.611771277 286264359  instructions
    48.611771277 26069508  branches
    48.611771277 0  faults
    48.611771277 0  migrations
    48.611771277 9  context-switches
    49.111970072 3627517  cache-references
    49.111970072 2698110  cache-misses
    49.111970072 1356337890  cycles
    49.111970072 289640296  instructions
    49.111970072 26435948  branches
    49.111970072 0  faults
    49.111970072 0  migrations
    49.111970072 4  context-switches
    49.614488967 3795013  cache-references
    49.614488967 2813262  cache-misses
    49.614488967 1346593855  cycles
    49.614488967 287075777  instructions
    49.614488967 26218469  branches
    49.614488967 0  faults
    49.614488967 0  migrations
    49.614488967 16  context-switches
    50.115479563 3917096  cache-references
    50.115479563 2702031  cache-misses
    50.115479563 1226896439  cycles
    50.115479563 320001642  instructions
    50.115479563 35557738  branches
    50.115479563 1753  faults
    50.115479563 0  migrations
    50.115479563 70  context-switches
    50.616064161 3846270  cache-references
    50.616064161 2830175  cache-misses
    50.616064161 1397676184  cycles
    50.616064161 298700600  instructions
    50.616064161 27277074  branches
    50.616064161 0  faults
    50.616064161 0  migrations
    50.616064161 8  context-switches
    51.117178699 3722406  cache-references
    51.117178699 2756219  cache-misses
    51.117178699 1332317575  cycles
    51.117178699 284880218  instructions
    51.117178699 25930710  branches
    51.117178699 0  faults
    51.117178699 0  migrations
    51.117178699 7  context-switches
    51.617574237 3728415  cache-references
    51.617574237 2760261  cache-misses
    51.617574237 1348734295  cycles
    51.617574237 287858529  instructions
    51.617574237 26285884  branches
    51.617574237 0  faults
    51.617574237 0  migrations
    51.617574237 7  context-switches
    52.117931687 3833324  cache-references
    52.117931687 2803055  cache-misses
    52.117931687 1332480457  cycles
    52.117931687 283457367  instructions
    52.117931687 25866822  branches
    52.117931687 0  faults
    52.117931687 0  migrations
    52.117931687 5  context-switches
    52.618582887 3764814  cache-references
    52.618582887 2774385  cache-misses
    52.618582887 1348160194  cycles
    52.618582887 287566172  instructions
    52.618582887 26247519  branches
    52.618582887 0  faults
    52.618582887 0  migrations
    52.618582887 9  context-switches
    53.118794374 3827582  cache-references
    53.118794374 2794530  cache-misses
    53.118794374 1325338898  cycles
    53.118794374 284062461  instructions
    53.118794374 25880524  branches
    53.118794374 0  faults
    53.118794374 0  migrations
    53.118794374 5  context-switches
    53.619151446 3867517  cache-references
    53.619151446 2807181  cache-misses
    53.619151446 1364612051  cycles
    53.619151446 290943739  instructions
    53.619151446 26484878  branches
    53.619151446 0  faults
    53.619151446 0  migrations
    53.619151446 7  context-switches
    54.119503856 3791861  cache-references
    54.119503856 2761480  cache-misses
    54.119503856 1307896609  cycles
    54.119503856 278627385  instructions
    54.119503856 25352346  branches
    54.119503856 0  faults
    54.119503856 0  migrations
    54.119503856 6  context-switches
    54.619884391 3858083  cache-references
    54.619884391 2804694  cache-misses
    54.619884391 1373784211  cycles
    54.619884391 293098401  instructions
    54.619884391 26740552  branches
    54.619884391 0  faults
    54.619884391 0  migrations
    54.619884391 7  context-switches
    55.120090259 3833462  cache-references
    55.120090259 2808609  cache-misses
    55.120090259 1382295483  cycles
    55.120090259 296275480  instructions
    55.120090259 27019746  branches
    55.120090259 0  faults
    55.120090259 0  migrations
    55.120090259 3  context-switches
    55.620303294 3952335  cache-references
